# Original Source:
#Institut für Deutsche Sprache (2014): Korpusbasierte Wortformenliste DeReWo, DeReKo-2014-II-MainArchive-STT.100000
#http://www.ids-mannheim.de/derewo, Institut für Deutsche Sprache, Programmbereich Korpuslinguistik, Mannheim, Deutschland
","
.
der
die
und
	
in
den
)
(
:
von
mit
ist
im
für
des
sich
nicht
Die
auf
dem
das
-
ein
eine
auch
zu
es
als
er
am
bei
die
Der
an
hat
sie
aus
sind
wird
nach
dass
war
zum
zu
noch
einer
einem
einen
über
wurde
werden
so
nur
oder
um
?
zur
vor
ich
man
haben
In
Sie
;
wie
Uhr
aber
Das
«
durch
»
wir
das
der
kann
gegen
hatte
unter
vom
bis
Es
/
mehr
schon
wieder
werden
Ich
Das
Im
dann
habe
sei
wenn
!
Jahr
zwei
Jahren
seine
sein
gibt
ihre
Er
immer
beim
Ein
Und
{
dieser
wie
wurden
keine
soll
Jahre
seiner
Mit
waren
diese
}
Wir
Prozent
bis
daß
eines
um
das
sehr
Euro
Nach
Auch
drei
'
seit
diesem
hier
will
zwischen
an
[
ersten
Zeit
sagte
Kategorie
aber
heute
aus
sowie
worden
bereits
jetzt
nun
alle
Für
]
können
Am
muss
Von
neue
sondern
Bei
geht
seinen
Eine
Menschen
sagt
selbst
So
Stadt
neuen
ins
ihrer
gut
ihren
weil
Ende
Deutschland
seinem
damit
ein
*
etwa
was
Millionen
steht
sein
ihm
ab
dpa
einmal
ihn
allem
rund
doch
Wenn
ganz
auf
ihr
&amp;
ohne
anderen
hatten
Berlin
20
beiden
erst
Kinder
Auf
1.
viele
vier
kein
ref
jedoch
wo
dabei
Frau
ja
--
de
müssen
konnte
dort
CEST
wäre
sollte
dieses
vor
da
kommt
gab
sollen
uns
haben
werde
als
mir
machen
letzten
SPD
000
Leben
ob
dazu
...
mal
alles
Mai
seien
wegen
Platz
Mann
können
Artikel
Als
erste
also
wollen
würde
of
dafür
kam
St.
diesen
allerdings
könnte
fünf
deutschen
nichts
mehr
Land
Geschichte
Sonntag
ref
Welt
Aber
zwar
Was
etwas
liegt
Samstag
gestern
Seite
1
30
ihrem
2
Teil
Diese
wohl
vergangenen
2008
zurück
fast
2009
Doch
später
15
2007
ab
Frage
2006
2010
großen
CDU
weitere
mich
was
Arbeit
denn
Tag
dies
10
Wer
September
lassen
Juni
März
Frauen
andere
gar
davon
S.
Thema
macht
Polizei
Unternehmen
da
sogar
stehen
Peter
Mark
darauf
hätte
große
Oktober
Fall
gewesen
bin
weiter
einfach
Freitag
gemacht
zehn
Da
2.
April
zweiten
gerade
findet
Beispiel
allen
hätten
November
Weg
Gemeinde
USA
18
Man
Geld
Juli
Spiel
2011
eigenen
Dr.
Januar
Den
Herr
ging
Woche
Zum
Mal
sieht
Vor
%
Dabei
statt
ihnen
Dezember
keinen
heißt
Michael
14
Seit
uns
nächsten
bleibt
August
viel
Regierung
einige
du
3.
sechs
würden
wollte
ebenfalls
Weblinks
möglich
Wie
bisher
2005
kaum
vielen
Denn
München
deutlich
gilt
deutsche
Februar
geben
3
nie
Präsident
oft
An
Haus
the
Mittwoch
Wochen
sagen
Thomas
Familie
16
Montag
aller
Donnerstag
besser
sehen
50
Informationen
besonders
17
Zu
Namen
The
Kirche
Bild
ISBN
Straße
Ort
viel
deshalb
Anfang
Dies
anderem
sollten
100
Ziel
natürlich
neben
zeigt
mit
19
zu
Dienstag
CET
tun
derzeit
Nur
eher
Art
dem
musste
gehört
zunächst
gute
http
alten
Aber
Zukunft
Minuten
2000
Grund
eigentlich
Dann
Aus
Trainer
Bad
klar
Saison
Mannschaft
konnten
möchte
Milliarden
Damit
kommen
Musik
wirklich
einer
darf
lange
Wie
4.
lässt
sicher
Literatur
Meter
neu
kleinen
hinter
weit
Tage
pro
Region
seines
de/
damals
20.
denen
genau
2012
New
gleich
darüber
welche
2004
Hier
Jahres
meine
FC
Angaben
während
4
doch
Eltern
Gruppe
vielleicht
13
lang
Programm
Film
Leute
5.
Erfolg
com
weiß
kurz
Schule
40
Nicht
Team
insgesamt
Politik
Entwicklung
19.
12
=
kommen
Dass
könne
Bereich
Wien
Beifall
könnten
Bürgermeister
Titel
weiteren
Europa
Wolfgang
schnell
geworden
Mitglieder
unsere
stellt
5
Deutschen
stand
6.
Partei
Band
eben
Mitarbeiter
Schweiz
Schüler
Schweizer
erklärte
muß
zu
richtig
stark
dagegen
Unter
Männer
jeder
Martin
deutscher
Verein
Gäste
11
Beginn
führt
eine
Beim
acht
|
25
kleine
/www
and
Österreich
gegeben
unserer
Stunden
Zahl
daran
jeweils
sieben
Personen
FDP
7.
bleiben
jeden
Sieg
allein
überhaupt
Berliner
Einsatz
Diskussion
Außerdem
Dort
15.
10.
gehen
knapp
alte
18.
nämlich
gemeinsam
Rolle
mehrere
Hans
gegenüber
hält
8.
11.
Jahrhundert
daher
Rahmen
Gesellschaft
Mitte
9
kommenden
dessen
schließlich
erstmals
9.
Tagen
laut
Christian
ebenso
wenig
ließ
12.
Jetzt
Wort
SV
zweite
Hilfe
meisten
Ihre
ihr
machte
Blick
Foto
finden
ganze
Kosten
Über
deren
Hand
13.
Zeitung
17.
Höhe
Punkte
schwer
Herren
Problem
zusammen
bringen
16.
Fragen
Du
Probleme
Heute
eigene
anders
Um
Richtung
Entscheidung
Zur
Spieler
Buch
müsse
14.
Hamburg
solche
2003
Form
Kritik
besteht
Bürger
Seine
junge
Mutter
Projekt
Dieser
Lage
Wochenende
guten
Frankfurt
als
gesagt
Wasser
Wirtschaft
6
2002
Abend
Franz
Vater
gekommen
bietet
2001
mich
trotz
8
Internet
kamen
beginnt
Durch
zuletzt
Nacht
Universität
spielt
Da
fand
zuvor
scheint
müssen
Nun
21.
Deutsche
Verfügung
Stelle
bekannt
Ergebnis
Politiker
andere
paar
erneut
Andreas
Telefon
Monaten
1999
wer
Frankreich
II
Damen
Während
den
30.
zudem
Wahl
einigen
Karl
recht
Kreis
Besucher
gebracht
erklärt
folgenden
Sohn
blieb
Neben
jungen
Sein
letzte
Kunst
völlig
60
Einzelnachweise
gefunden
weniger
Dazu
Zwei
nehmen
Als
Grünen
inzwischen
Bevölkerung
1998
Tod
leicht
Amt
gestellt
Mitglied
stellte
denn
Situation
25.
Klaus
Seiten
Noch
Müller
Ausstellung
politischen
Kilometer
Schon
bald
Doch
weiterhin
nahm
Folge
wichtig
beispielsweise
gerne
verschiedenen
22.
während
besten
Recht
AG
Mädchen
Zudem
Sache
7
Franken
liegen
zumindest
Chance
Ihr
dritten
Dollar
Markt
Firma
Allerdings
nimmt
21
Meinung
Raum
Kindern
denen
Landes
28.
per
ihres
27.
z.
Möglichkeit
Bank
Ihnen
24.
Alle
Deshalb
23.
Erst
Liste
Preis
26.
Autor
York
sonst
Stück
Bayern
bis
www
ehemaligen
Bedeutung
erhielt
künftig
Unterstützung
Kind
Viele
Hause
siehe
führte
amp
dürfte
Punkt
Gemeinden
meist
deren
Antrag
fest
zusammen
Kollegen
gehören
oben
mindestens
200
Verlag
setzt
Paris
alle
handelt
1997
Publikum
direkt
Bau
begann
meiner
innerhalb
spricht
tatsächlich
Paul
Hälfte
Kopf
nachdem
gewann
22
Sommer
unserem
Bilder
Jürgen
Interesse
Geburtstag
Führung
Auto
Ob
Weise
durchaus
Werk
genannt
Kunden
Staaten
hohen
genommen
heutigen
politische
sofort
genug
Friedrich
Monate
danach
Beitrag
hin
29.
jede
Werner
erreicht
Opfer
London
1996
etwas
halten
zeigte
SG
Zusammenarbeit
Bühne
Walter
Ländern
meint
Krieg
Sicherheit
bislang
gesehen
gehen
weiter
öffentlichen
offenbar
Stefan
warum
lag
Angebot
Bericht
Länder
a
Meine
mein
Name
Johann
endlich
jemand
CEST
Kampf
gewählt
Klasse
Druck
bringt
Alter
ganzen
darum
neun
Tochter
Zürich
groß
Satz
neues
Nürnberg
sowohl
Augen
{
Maria
verloren
bzw.
S
Minute
2013
einzige
zwölf
obwohl
Union
Robert
neuer
spielte
setzte
Aufgabe
{
aufgrund
erster
wissen
Schulen
finden
hoch
Sprache
gebe
80
Nachdem
19.30
Gespräch
1995
Gericht
berichtete
Vergleich
Werke
offen
Josef
Dieses
Sicht
Wiener
Ab
Tor
Staat
dürfen
geführt
Gebäude
Reihe
Gerhard
brachte
Leiter
I
größten
EU
500
Zahlen
geplant
wollten
an
s
jedem
Zeiten
lediglich
Köln
Warum
Kultur
mussten
Stuttgart
bekommen
Tel.
Zusammenhang
frei
Tore
Museum
Kraft
hieß
m
beide
braucht
1994
befindet
insbesondere
Idee
A
China
solchen
erzählt
Künstler
internationalen
gewinnen
lassen
31.
Runde
führen
anderen
Mainz
Italien
Theater
nächste
CSU
Frank
erhalten
Begriff
70
schön
hohe
Liebe
Bereits
Redaktion
meinte
John
Wert
wobei
stellen
weniger
24
Start
niemand
Mehrheit
gleichen
Koblenz
Zuschauer
Gesetz
längst
Lösung
eines
Arbeiten
Schritt
Oder
Rede
läuft
erreichen
Glück
Stunde
teilte
Die
Gegner
unser
sah
Vielleicht
Bund
jedes
zahlreiche
fällt
schaffen
Veröffentlichung
Veranstaltung
darin
Chancen
europäischen
nach
ohne
23
Spiele
verschiedene
Schmidt
einzelnen
Dem
größte
je
Medien
Herbst
Sprecher
Neue
damit
Boden
Stimmen
zog
Bundesregierung
Teilnehmer
spielen
teilweise
Angst
Georg
Partie
voll
großer
Bis
sprach
Ausbildung
Chef
Nein
Landkreis
1990
wären
dennoch
B.
machen
Jugendliche
Jahrhunderts
ehemalige
Vertreter
Nähe
berichtet
Quellen
dadurch
Leistung
erfolgreich
Helmut
hingegen
fehlt
1992
mittlerweile
gewonnen
Meister
Linie
Ernst
1993
weder
leider
Betrieb
verwendet
wolle
verletzt
wenigen
Person
außerdem
##
Wilhelm
Besuch
morgen
Einen
etwas
90
eingesetzt
Laut
Feuerwehr
Soldaten
M.
300
B
trifft
einen
Verfahren
Stand
Gegen
Vom
je
Heinrich
Trotz
Ist
zufrieden
Leitung
mehreren
lange
Sport
Markus
bedeutet
Mensch
Jugendlichen
stets
gezeigt
mir
Mär
Alexander
Mittel
Insgesamt
M
gern
Bahn
Weil
http
bevor
Dieter
dessen
Also
jedenfalls
Danach
betonte
0
Gefahr
Dinge
finde
Text
Themen
Vorsitzende
Hannover
gleichzeitig
Dafür
geschrieben
David
tätig
Sinn
Parlament
Jugend
u.
Familien
Fehler
Gebiet
Parteien
1991
Vertrag
GmbH
mag
Sitzung
langen
Aktion
Natur
falsch
schreibt
Rang
Weitere
Mannheim
Fischer
wissen
Mehr
DM
Hintergrund
Roman
somit
häufig
trat
Johannes
gelang
Möglichkeiten
Lehrer
Deutschen
fiel
Vergangenheit
gesetzt
Antwort
Bonn
Karriere
wollen
gegründet
Konzert
35
entscheiden
die
amp
lädt
Quelle
selber
Motto
J.
Konzept
anderer
Daten
Osten
aufgenommen
heraus
hielt
Christoph
Monat
entfernt
früheren
Dorf
Manfred
Licht
Minister
Otto
wichtige
Folgen
Streit
Zwar
Rennen
weltweit
Punkten
Karten
